,COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Recentness data (average years),Countries in HVC = _NO,Countries in HVC = _YES
63,Gambia,GMB,3.6,Medium,81.0,-145.7,1.5,2.7,0.1,4.6,1.1,0.0,2.5,2.7,6.0,0.1,0.1,0.0,5.8,7.4,8.3,5.8,7.2,3.5,3.8,2.7,3.2,0.5,5.4,3.1,5.4,4.8,3.0,6.5,6.0,5.7,5.2,7.2,0.0,0.0,-27.32,1,0
64,Georgia,GEO,3.5,Medium,91.0,-150.7,2.6,4.5,7.2,6.1,0.0,0.0,5.9,3.9,5.1,0.1,0.2,0.0,5.0,2.9,1.2,3.0,6.2,6.6,9.1,0.5,0.6,1.7,1.1,1.0,3.2,4.4,4.7,4.1,1.7,1.3,1.3,2.4,3.0,0.06,-28.41,1,0
65,Germany,DEU,2.4,Low,143.0,-162.9,2.4,4.1,3.7,7.8,0.0,0.0,8.0,1.6,2.0,0.4,0.5,0.0,3.7,0.4,0.0,1.4,0.1,6.0,8.7,0.1,0.2,0.0,0.3,0.2,1.6,2.5,2.7,2.2,0.6,1.5,0.0,0.4,9.0,0.18,-31.0,1,0
66,Ghana,GHA,3.5,Medium,91.0,-144.8,2.2,3.2,0.1,4.6,1.7,0.0,4.3,0.6,7.5,1.1,1.5,0.0,4.0,5.2,6.6,5.9,1.8,2.5,3.0,3.5,3.1,0.0,1.0,2.0,4.8,4.5,3.4,5.5,5.1,3.1,6.5,5.7,0.0,0.0,-27.15,1,0
67,Greece,GRC,2.6,Low,132.0,-162.7,2.8,4.9,8.1,3.8,7.2,0.0,5.0,0.8,5.0,0.1,0.1,0.0,2.9,0.7,0.3,1.9,0.1,4.6,7.1,0.2,0.3,0.5,1.0,0.5,2.2,3.4,2.3,4.5,0.8,1.8,0.0,0.6,9.0,0.18,-30.95,1,0
68,Grenada,GRD,2.2,Low,154.0,-188.1,1.4,2.6,3.4,0.0,0.0,6.0,2.5,0.5,3.7,0.0,0.0,0.0,2.1,3.2,2.1,3.8670329670329675,5.4,0.9,0.0,0.1,1.2,0.0,5.0,1.8,3.7,4.8,4.7,4.9,2.5,2.3,0.6,4.5,19.0,0.37,-36.02,1,0
69,Guatemala,GTM,5.1,High,33.0,-151.7,4.1,5.8,9.5,4.2,6.8,3.7,3.7,3.5,5.3,1.8,2.6,0.0,6.1,5.7,6.9,6.1,2.8,6.5,7.1,1.0,2.5,10.0,3.2,5.9,5.3,6.3,5.5,7.1,4.2,3.1,4.3,5.1,4.0,0.08,-28.65,1,0
70,Guinea,GIN,4.5,Medium,50.0,-148.5,2.8,3.7,0.1,5.5,2.7,0.0,4.9,0.3,8.0,1.8,2.6,0.0,4.7,6.2,9.1,4.8,1.6,2.8,1.6,5.3,5.6,0.3,2.7,3.8,6.9,6.1,5.0,7.2,7.6,6.4,7.9,8.5,3.0,0.06,-28.0,1,0
71,Guinea-Bissau,GNB,3.9,Medium,74.0,-146.7,1.4,2.3,0.1,2.7,0.0,0.0,2.1,1.5,7.1,0.3,0.4,0.0,5.4,6.9,8.9,5.4,4.5,3.4,0.0,6.2,4.7,0.0,8.8,5.8,7.9,7.9,7.8,7.9,7.8,6.4,8.7,8.2,2.0,0.04,-27.61,1,0
72,Guyana,GUY,3.6,Medium,81.0,-157.0,2.4,4.2,0.1,6.9,2.5,0.0,7.0,3.8,5.3,0.1,0.1,0.0,4.0,3.8,3.4,6.1,2.4,4.1,5.7,3.7,2.1,1.1,0.6,2.0,4.7,5.8,4.227814569536424,5.8,3.4,2.3,4.1,3.9,6.0,0.12,-29.73,1,0
